7,Selection message： 配1A班,Selection message： 配1A班,Selection message： 配1A班,Selection message： 配1A班,Selection message： 配1A班,Selection message： 配1A班,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ME125 B,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",工場實習（一） (Syllabus) Workshop Practice (I),Department Compulsory Courses,"102 ,機械工場 103 ,機械工場 104 ,機械工場",李其源(Chi-Yuan Lee),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ME127 A,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",機械工程概論 (Syllabus) Introduction to Mechanical Engineering,Department Compulsory Courses,"206 ,3208",余念一(Niann-i Yu),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Selection message： 配1A/1B,Selection message： 配1A/1B,Selection message： 配1A/1B,Selection message： 配1A/1B,Selection message： 配1A/1B,Selection message： 配1A/1B,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ME128 A,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",應用力學-靜力 (Syllabus) Applied Mechanics Statics,Department Compulsory Courses,"207 ,3208 208 ,3208",余念一(Niann-i Yu),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Selection message： 配1A,Selection message： 配1A,Selection message： 配1A,Selection message： 配1A,Selection message： 配1A,Selection message： 配1A,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ME128 B,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",應用力學-靜力 (Syllabus) Applied Mechanics Statics *Teaching in English,Department Compulsory Courses,"406 ,3101 407 ,3101",余念一(Niann-i Yu),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Selection message： 配1B,英語授課,與工院英專DE219A合班上課","Selection message： 配1B,英語授課,與工院英專DE219A合班上課","Selection message： 配1B,英語授課,與工院英專DE219A合班上課","Selection message： 配1B,英語授課,與工院英專DE219A合班上課","Selection message： 配1B,英語授課,與工院英專DE219A合班上課","Selection message： 配1B,英語授課,與工院英專DE219A合班上課",113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME202 A,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",工程數學（一） (Syllabus) Engineering Mathematics (I),Department Compulsory Courses,"202 ,3208 203 ,3208 204 ,3208",林育才(Yur-Tsai Lin),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME202 B,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",工程數學（一） (Syllabus) Engineering Mathematics (I) *Teaching in English,Department Compulsory Courses,"402 ,3110 403 ,3110 404 ,3110",林育才(Yur-Tsai Lin),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Selection message： 配2B班,英語授課，與工英專DE212A合班上課","Selection message： 配2B班,英語授課，與工英專DE212A合班上課","Selection message： 配2B班,英語授課，與工英專DE212A合班上課","Selection message： 配2B班,英語授課，與工英專DE212A合班上課","Selection message： 配2B班,英語授課，與工英專DE212A合班上課","Selection message： 配2B班,英語授課，與工英專DE212A合班上課",113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME206 A,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",熱力學（一） (Syllabus) Thermodynamics (I) *全校性跨領域--綠色能源學程,Department Compulsory Courses,"502 ,3110 503 ,3110 504 ,3110",林育才(Yur-Tsai Lin),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ME206 B,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",熱力學（一） (Syllabus) Thermodynamics (I) *Teaching in English *全校性跨領域--綠色能源學程,Department Compulsory Courses,"102 ,3105 103 ,3105 104 ,3105",鐘國濱(Guo-Bin Jung),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Selection message： 配2B班，英語授課，與工英專DE213A合班上課,Selection message： 配2B班，英語授課，與工英專DE213A合班上課,Selection message： 配2B班，英語授課，與工英專DE213A合班上課,Selection message： 配2B班，英語授課，與工英專DE213A合班上課,Selection message： 配2B班，英語授課，與工英專DE213A合班上課,Selection message： 配2B班，英語授課，與工英專DE213A合班上課,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ME214 A,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",應用力學動力 (Syllabus) Applied Mechanics Dynamics,Department Compulsory Courses,"402 ,3105 403 ,3105 404 ,3105",余念一(Niann-i Yu),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ME214 B,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",應用力學動力 (Syllabus) Applied Mechanics Dynamics *Teaching in English,Department Compulsory Courses,"302 ,3114 303 ,3114 304 ,3114",吳昌暉(Chang-Huei Wu),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Selection message： 配2B班，英語授課,Selection message： 配2B班，英語授課,Selection message： 配2B班，英語授課,Selection message： 配2B班，英語授課,Selection message： 配2B班，英語授課,Selection message： 配2B班，英語授課,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ME224 A,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",電路及電子學 (Syllabus) Introduction to Electric Circuits and Electronics,Department Compulsory Courses,"407 ,3208 408 ,3208 409 ,3208",吳昌暉(Chang-Huei Wu),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ME303 A,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",機械製造 (Syllabus) Introduction to Manufacturing Processes *智慧製造學程,Department Compulsory Courses,"302 ,3216 303 ,3216 304 ,3216",沈家傑(Chia-Chieh Shen),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,Selection message： 配2A班,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ME303 B,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",機械製造 (Syllabus) Introduction to Manufacturing Processes *智慧製造學程,Department Compulsory Courses,"207 ,3107 208 ,3107 209 ,3107",沈家傑(Chia-Chieh Shen),113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Selection message： 配2B班,Selection message： 配2B班,Selection message： 配2B班,Selection message： 配2B班,Selection message： 配2B班,Selection message： 配2B班,113F,,,302302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CH103 A,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",普通化學 (Syllabus) General Chemistry,Department Compulsory Courses,"301 ,2102 503 ,2102 504 ,2102",林秀麗(Hsiu-Li Lin),113F,,,,303303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
