Course_Code,Section,Course_Name_EN,Original_Course_Name,Teaching_in_English,Program_Year,Course_Type,Instructor_EN,Original_Index
ME202,B,Engineering Mathematics I Teaching in English,Engineering Mathematics I *Teaching in English,True,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Yur-Tsai Lin,21
ME206,A,Thermodynamics I 全校性跨領域--綠色能源學程,Thermodynamics I *全校性跨領域--綠色能源學程,False,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Yur-Tsai Lin,22
ME206,B,Thermodynamics I Teaching in English 全校性跨領域--綠色能源學程,Thermodynamics I *Teaching in English *全校性跨領域--綠色能源學程,True,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Guo-Bin Jung,23
ME214,A,Applied Mechanics Dynamics,Applied Mechanics Dynamics,False,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Niann-i Yu,24
ME214,B,Applied Mechanics Dynamics Teaching in English,Applied Mechanics Dynamics *Teaching in English,True,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chang-Huei Wu,25
ME224,A,Introduction to Electric Circuits and Electronics,Introduction to Electric Circuits and Electronics,False,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chang-Huei Wu,26
ME303,A,Introduction to Manufacturing Processes 智慧製造學程,Introduction to Manufacturing Processes *智慧製造學程,False,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chia-Chieh Shen,27
ME303,B,Introduction to Manufacturing Processes 智慧製造學程,Introduction to Manufacturing Processes *智慧製造學程,False,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Chia-Chieh Shen,28
CH103,A,General Chemistry,General Chemistry,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,Hsiu-Li Lin,29
CH103,B,General Chemistry,General Chemistry,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,Hsiu-Li Lin,30
CH105,A,General Chemistry & Analysis Laboratory,General Chemistry & Analysis Laboratory,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,,31
CH105,B,General Chemistry & Analysis Laboratory,General Chemistry & Analysis Laboratory,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,,32
CH125,A,Introduction to Chemical Engineering & Material Science,Introduction to Chemical Engineering & Material Science,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,Ho-Shing Wu,33
CH128,A,General PhysicsI,General PhysicsI,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,,34
CH128,B,General PhysicsI,General PhysicsI,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,,35
CH130,A,CalculusI,CalculusI,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,I-Ming Hung,36
CH130,B,CalculusI,CalculusI,False,"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",Department Compulsory Courses,I-Ming Hung,37
CS106,A,Computer ProgrammingI 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 互動多媒體微學程 互動多媒體學程 智慧校園與智慧照護學程,Computer ProgrammingI *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *互動多媒體微學程 *互動多媒體學程 *智慧校園與智慧照護學程,False,"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Ji-Cherng Lin,38
