Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS426,A,專業實習（三）,Practical TrainingIII,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS426,B,專業實習（三）,Practical TrainingIII,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS426,C,專業實習（三）,Practical TrainingIII,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS427,A,專業實習（四）,Practical TrainingIV,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS427,B,專業實習（四）,Practical TrainingIV,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Senior",CS427,C,專業實習（四）,Practical TrainingIV,,系主任等,,
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS114,A,程式設計（二）,Computer ProgrammingII *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *互動多媒體微學程 *互動多媒體學程,Department Compulsory Courses,黃怡錚,,"202 ,60104 203 ,60104 204 ,60104"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS153,A,電子電路學,Circuit Theory,Department Compulsory Courses,曾王道,Wang-Dauh Tseng,"402 ,1401A 403 ,1401A 404 ,1401A"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS203,A,資料結構,Data Structures *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *互動多媒體微學程 *互動多媒體學程,Department Compulsory Courses,林基成,Ji-Cherng Lin,"106 ,1401B 107 ,1401B 409 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS203,B,資料結構,Data Structures *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *互動多媒體微學程 *互動多媒體學程,Department Compulsory Courses,簡廷因,Ting-Ying Chien,"106 ,60104 107 ,60104 409 ,70204"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS204,A,數位系統設計,Digital System Design,Department Compulsory Courses,曾王道,Wang-Dauh Tseng,"301 ,60312 302 ,60312 408 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS206,A,數位系統實務,Digital Systems Design and Practice,Department Compulsory Courses,林明義,"Ming-Yi,Lin","508 ,1008 509 ,1008 510 ,1008"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS206,B,數位系統實務,Digital Systems Design and Practice,Department Compulsory Courses,林明義,"Ming-Yi,Lin","502 ,1008 503 ,1008 504 ,1008"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS229,A,資料通訊概論,Introduction to Data Communications,Department Compulsory Courses,黃依賢,I-Shyan Hwang,"103 ,60312 104 ,60312 207 ,60312"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS229,B,資料通訊概論,Introduction to Data Communications,Department Compulsory Courses,鍾添曜,Tein-Yaw Chung,"103 ,60104 104 ,60104 207 ,60104"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS233,A,線性代數,Linear Algebra,Department Compulsory Courses,林佑政,"Lin,Yu-Cheng","108 ,60105 406 ,60105 407 ,60105"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS233,B,線性代數,Linear Algebra,Department Compulsory Courses,簡廷因,Ting-Ying Chien,"108 ,60104 406 ,70105 407 ,70105"
